"PID","banditTrial","choice","cue","feedback","condition","block"
2045,16,1,1,0,"NonInfo","2"
2045,17,0,2,0,"NonInfo","2"
2045,18,1,1,0,"NonInfo","2"
2045,19,0,1,121,"NonInfo","2"
2045,20,0,1,124,"NonInfo","2"
2045,21,0,1,115,"NonInfo","2"
2045,22,0,2,0,"NonInfo","2"
2045,23,0,1,121,"NonInfo","2"
2045,24,0,2,0,"NonInfo","2"
2045,25,0,2,0,"NonInfo","2"
2045,26,1,1,0,"NonInfo","2"
2045,27,1,1,0,"NonInfo","2"
2045,28,0,2,0,"NonInfo","2"
2045,29,1,1,0,"NonInfo","2"
2045,30,0,2,0,"NonInfo","2"
2045,31,0,2,0,"NonInfo","3"
2045,32,0,1,122,"NonInfo","3"
2045,33,0,1,126,"NonInfo","3"
2045,34,0,2,0,"NonInfo","3"
2045,35,0,1,124,"NonInfo","3"
2045,36,0,1,122,"NonInfo","3"
2045,37,0,2,0,"NonInfo","3"
2045,38,1,2,90,"NonInfo","3"
2045,39,0,2,0,"NonInfo","3"
2045,40,0,1,114,"NonInfo","3"
2045,41,0,2,0,"NonInfo","3"
2045,42,0,2,0,"NonInfo","3"
2045,43,0,2,0,"NonInfo","3"
2045,44,1,1,0,"NonInfo","3"
2045,45,0,1,130,"NonInfo","3"
2045,46,0,1,119,"NonInfo","4"
2045,47,0,2,0,"NonInfo","4"
2045,48,0,1,124,"NonInfo","4"
2045,49,0,1,125,"NonInfo","4"
2045,50,0,2,0,"NonInfo","4"
2045,51,0,2,0,"NonInfo","4"
2045,52,1,2,77,"NonInfo","4"
2045,53,1,1,0,"NonInfo","4"
2045,54,0,1,122,"NonInfo","4"
2045,55,0,1,128,"NonInfo","4"
2045,56,0,1,123,"NonInfo","4"
2045,57,0,2,0,"NonInfo","4"
2045,58,0,1,124,"NonInfo","4"
2045,59,0,2,0,"NonInfo","4"
2045,60,0,1,129,"NonInfo","4"
2794,1,0,1,128,"NonInfo","1"
2794,2,0,1,113,"NonInfo","1"
2794,3,0,2,0,"NonInfo","1"
2794,4,1,1,0,"NonInfo","1"
2794,5,0,1,123,"NonInfo","1"
2794,6,1,2,78,"NonInfo","1"
2794,7,0,1,127,"NonInfo","1"
2794,8,0,2,0,"NonInfo","1"
2794,9,0,2,0,"NonInfo","1"
2794,10,1,2,81,"NonInfo","1"
2794,11,0,2,0,"NonInfo","1"
2794,12,0,1,127,"NonInfo","1"
2794,13,0,1,117,"NonInfo","1"
2794,14,1,1,0,"NonInfo","1"
2794,15,0,2,0,"NonInfo","1"
2794,16,0,1,121,"NonInfo","2"
2794,17,0,1,121,"NonInfo","2"
2794,18,0,2,0,"NonInfo","2"
2794,19,0,1,121,"NonInfo","2"
2794,20,0,2,0,"NonInfo","2"
2794,21,0,1,127,"NonInfo","2"
2794,22,0,1,124,"NonInfo","2"
2794,23,0,2,0,"NonInfo","2"
2794,24,0,1,128,"NonInfo","2"
2794,25,0,2,0,"NonInfo","2"
2794,26,1,2,89,"NonInfo","2"
2794,27,0,1,117,"NonInfo","2"
2794,28,0,1,116,"NonInfo","2"
2794,29,0,2,0,"NonInfo","2"
2794,30,0,2,0,"NonInfo","2"
2794,31,0,1,125,"NonInfo","3"
2794,32,1,2,70,"NonInfo","3"
2794,33,0,2,0,"NonInfo","3"
2794,34,1,2,88,"NonInfo","3"
2794,35,0,1,115,"NonInfo","3"
2794,36,0,2,0,"NonInfo","3"
2794,37,0,2,0,"NonInfo","3"
2794,38,0,1,116,"NonInfo","3"
2794,39,0,1,121,"NonInfo","3"
2794,40,0,1,114,"NonInfo","3"
2794,41,0,2,0,"NonInfo","3"
2794,42,0,1,116,"NonInfo","3"
2794,43,0,1,121,"NonInfo","3"
2794,44,0,1,114,"NonInfo","3"
2794,45,0,2,0,"NonInfo","3"
2794,46,0,2,0,"NonInfo","4"
2794,47,0,2,0,"NonInfo","4"
2794,48,0,1,120,"NonInfo","4"
2794,49,0,2,0,"NonInfo","4"
2794,50,0,2,0,"NonInfo","4"
2794,51,0,2,0,"NonInfo","4"
